year,question_number,question_id,classification,reason,suggested_subject
2023,1,06a71546-9158-4fe8-bc64-b5a1f84f9ce4,PERISHABLE,BSR anniversary year count tied to October 2022,
2023,2,a2d5fb94-dfdd-4b55-9f4b-6de9fa8aa402,PERISHABLE,FRB share of issuances for 2022-23; annual report figure,
2023,3,464407e5-93ca-4d89-a707-b74f17271000,PERISHABLE,Gender parity leader in that year's Global Gender Gap Index,
2023,4,a86a0030-3ae4-400d-ae2d-a146919e6bea,PERISHABLE,Civilian honour conferred on a named person,
2023,5,ba69621f-99ba-442c-9d13-5ae8db01c04d,DURABLE,Town of Export Excellence threshold is Foreign Trade Policy scheme design,economics
2023,6,ff2a43cf-19d2-4b71-9e78-815af74a91a9,DURABLE,Trilateral highway terminus is fixed project geography,
2023,7,3539cfd7-1980-4538-9e4e-651f2e663682,PERISHABLE,NITI Aayog app launched at a dated visit,
2023,8,c6eb9d90-7e69-422d-918e-478ba00876c7,PERISHABLE,Economic Survey growth forecast range for a stated year,
2023,9,d4ce74ef-4c4d-4e3e-834c-5a1e2da5321e,PERISHABLE,Inauguration of the first international cruise vessel,
2023,10,dc375824-9bd8-42ee-a07b-acdf2ac88636,DURABLE,Full form of TRAI's Digital Consent Acquisition facility,
2023,11,4dd92204-71ba-458a-9500-48a79bcc87bd,PERISHABLE,CAG selected as ILO external auditor; appointment,
2023,12,92ec9348-e725-4bc2-86c1-6484d7617e01,DURABLE,International forum membership of India,
2023,13,779435d4-7055-45c5-a488-1f384541c7ce,PERISHABLE,PLI sector performance for a stated year,
2023,14,828f8e49-5f89-434a-8d4c-dce4ada36b90,DURABLE,Common membership of ASEAN and BIMSTEC,
2023,15,44ce8df3-df4e-43bf-9d39-a821dafa06e6,DURABLE,Inflation upper threshold and consecutive-quarter breach rule under the monetary policy framework,economics
2023,16,6001a265-5a4e-4f10-8209-57ab1bf98c83,PERISHABLE,Bank with the highest branch increase in FY 2022-23,
2023,17,b89a3e1c-57bb-4aae-8e2a-0c9e914cf3f9,DURABLE,Base period of the RBI Digital Payments Index,banking
2023,18,a333bbf9-fdbe-4896-9c05-56b42367ffed,DURABLE,RBI public-awareness mascots; institutional,banking
2023,19,adaf7230-321a-4eec-b993-97639fcbcb53,DURABLE,Statutory e-way bill consignment value threshold under GST,economics
2023,20,568ded3d-be7c-40ea-9a7f-158457df1ddf,PERISHABLE,Budget 2023-24 interest-free loan allocation figure,
2023,21,dde30b8f-dfc9-4401-99e4-c2eed0653cd6,PERISHABLE,Bank that launched the FYN corporate portal; product launch,
2023,22,cf7c64b7-c5c5-46dc-a84a-43207cef04db,DURABLE,Single-counterparty large-exposure ceiling for an NBFC-UL,banking
2023,23,d7922705-0b2c-4951-9181-b2d15370bd9c,PERISHABLE,ICAR e-commerce partner; MoU announcement,
2023,24,18f853c3-ce55-45eb-a81f-be96333dcbe0,PERISHABLE,ECB anniversary count in the year asked,
2023,25,e3f0fa96-1e21-4308-8b6b-e29caa3236ce,PERISHABLE,First Indian stock to cross Rs 1 lakh per share; market event,
2023,26,6cae56ac-d728-447c-a155-ad062d02e25c,DURABLE,Theme of the RBI Payments Vision 2025 document,banking
2023,27,ed85a17d-941f-426c-b997-fbda496d4843,DURABLE,Organisation that launched the Antardrishti financial-inclusion dashboard,banking
2023,28,31907b64-c79f-4ceb-882a-88b2a33207f5,DURABLE,Indian Ocean Dipole; climate science,
2023,29,0f70f032-86ad-4a9d-8dab-dc7c694f6f78,PERISHABLE,NIRF India Rankings 2023 statements,
2023,30,d599a55c-74fb-4b0a-a2a5-9cb96c250c38,DURABLE,Risk categories in RBI forex reserve deployment,banking
2023,31,c71d1019-cdb5-49bf-a290-8c4934b8ac38,PERISHABLE,Fund identified from AUM composition at a stated date,
2023,32,a5817e98-78ab-4dbd-abb2-27f1e3c22b35,DURABLE,Pillars of the Foreign Trade Policy 2023,economics
2023,33,779e152e-0400-4c63-8a9b-8d474c4407fc,DURABLE,Total Expense Ratio base under SEBI Mutual Funds Regulations,capital-market
2023,34,92d4dab5-29a2-4ea2-a544-a105d8dcc623,PERISHABLE,Largest household savings instrument in 2022-23,
2023,35,3224fa53-8136-48dc-adbd-43fa99bba0f1,DURABLE,Design of the CBDC pilot launch in India,banking
2023,36,66d95685-ad8f-4372-b481-9a41bc8d2f51,PERISHABLE,Small savings scheme rate for a stated quarter,
2023,37,07ec5f4f-506f-49a4-b325-850d1aea8ef9,DURABLE,MAVEN acronym expansion,
2023,38,fb85f00d-5fa9-4fe8-aaaa-239e35d338f7,DURABLE,Parties to the Atlantic Declaration,
2023,39,ee1c526a-1da6-4de1-9686-7a8e5e37adde,DURABLE,Minimum Net Owned Fund for housing finance companies,banking
2023,40,646fe96f-61b0-4645-b460-b210d2f97da5,PERISHABLE,Chair of B20 under India's G20 presidency; appointment,
2023,41,920648ed-bb31-4e77-bada-88659f9bd8ad,DURABLE,Ministries converged under the cooperative grain storage plan,
2023,42,bd3d649a-e201-4113-8b56-ac6b79022eb0,DURABLE,RBI Digital Lending guidelines and FLDG provisions,banking
2023,43,a4b2c61b-cfa6-4096-8bb2-a27bbab9016e,PERISHABLE,RBI Annual Report finding on transmission for a stated year,
2023,44,70ec8b68-f75d-4f26-96e9-f91436d03b9a,PERISHABLE,Retained GDP growth forecast for 2023-24 and 2024-25,
2023,45,740ab0f8-3705-49a3-a375-46e52682be94,PERISHABLE,State assembly term ending before a stated date,
2023,46,c3f3f398-3537-4897-83f9-208043670daa,DURABLE,Base year of the NHB RESIDEX housing price index,economics
2023,47,f325058f-1c5e-435d-9c74-ed805923ebaf,DURABLE,Urban schemes launched in 2015; historical launch years,
2023,48,c8a89a5b-7f4f-4290-b18d-fd44672489cf,DURABLE,Events classified as UPSI under SEBI insider-trading rules,capital-market
2023,49,a728015a-edac-4246-8609-3e4890ca001a,PERISHABLE,Name of the award conferred on a named academic,
2023,50,39f753a0-722b-4749-9679-9bbf0a5107cc,PERISHABLE,Category of a 2023 badminton tournament,
2023,51,0229dee0-40e9-4af5-a6e6-1e7bb4ec1a4a,PERISHABLE,Top states in the State Food Safety Index,
2023,52,fa8af60b-8e86-4400-8911-ac2d56ecc684,PERISHABLE,Agriculture share of GVA in 2022-23,
2023,53,e62ee044-1c93-40af-b4cd-d1926efcec11,PERISHABLE,Top services-export contributor for a stated period,
2023,54,ece24678-98ac-427f-9044-df2546c45e65,PERISHABLE,Top three FDI source countries in a stated fiscal year,
2023,55,89def589-836a-4d4d-9933-9081ec2cea5f,PERISHABLE,Twenty Point Programme completion rate for a stated period,
2023,56,13a60b17-c78d-4d04-8eb8-cddd11a4165d,DURABLE,Sovereign Gold Bond scheme design statements,capital-market
2023,57,cc8b82f4-0a2e-4ce5-a071-4278b0bb21cb,DURABLE,Institution whose foundation day falls on 1 July,banking
2023,58,4e97483b-787b-4b3d-b50f-c6ea37dd26b0,PERISHABLE,Body the US decided to rejoin; dated geopolitical event,
2023,59,8465c7fd-8cfe-4b7f-a3a7-4d51b2fe9653,DURABLE,Numerical definition of a petaflop,
2023,60,fc688826-eec8-4593-9f75-90a67a191e68,DURABLE,Alloy composition of a commemorative coin,
2023,61,72b60dc6-6ac5-4560-9869-1bbbcb48bb92,PERISHABLE,NPS average monthly net subscriptions for a stated period,
2023,62,8a06af86-118d-4089-af14-20f64728ddd7,DURABLE,Overseas custodians of RBI gold reserves,banking
2023,63,e5c98da9-732f-40c7-aac2-cc1d05c5e6d6,DURABLE,Transition bonds as a sub-category of green debt securities,capital-market
2023,64,9d689a3a-0f88-4927-bb18-0500b0c79819,DURABLE,Minimum Net Owned Fund for NBFC-MFIs in the North-East,banking
2023,65,b9d6a044-93fd-439d-b2d2-fccd2b5bc02c,DURABLE,DRS acronym expansion,
2023,66,2072bcce-cf00-44b7-b6e0-ba6f707ec04f,PERISHABLE,Chief investment officer of the SWAMIH fund; appointment,
2023,67,8ce49aa5-bda8-438c-ac00-92e28ab53677,DURABLE,PM-KUSUM solar power plant capacity range; scheme design,
2023,68,0453ae7c-d895-45c3-af13-8ad11ae01751,DURABLE,Smart Cities Mission design statements,
2023,69,d45288ea-3086-455e-a2f7-3b86ccb182ca,PERISHABLE,Themes of a dated SAI20 summit,
2023,70,1e23b271-6759-40c2-845a-93b0f48c4f61,DURABLE,Location of the climate clock,
2023,71,67c276e5-2f91-45f5-b1d7-33d38a4bd376,DURABLE,UPI pay-request mechanics and payment address formats,banking
2023,72,b4f5f20f-b40d-48c5-9e91-0189760913db,DURABLE,Payments Infrastructure Development Fund targets and tenure,banking
2023,73,c70742d0-94f7-42a6-9d17-1d38860e76c3,DURABLE,Denominator against which Gross Domestic Saving is expressed,economics
2023,74,f0abc93c-7023-4b6f-a1ca-300dce26ff5e,DURABLE,Clearing corporations recognised by SEBI,capital-market
2023,75,7343f9ba-a106-42fb-9b93-532bbe0eeb4c,DURABLE,Bharat BillPay participant and channel design,banking
2023,76,362a02d5-a932-44c8-a8b5-4fb0bbed52d4,DURABLE,Constitutional article on Union-State division of powers,
2023,77,33b11bae-3149-4094-8a02-a209c867dc95,DURABLE,Multilateral agency that issued the India Country Partnership Strategy,
2023,78,3395bf01-c064-431b-8735-d7b9811b7ada,PERISHABLE,Top gold-producing countries; annual production ranking,
2023,79,a60b1c74-242e-400e-9aa2-d6b6deb6437c,DURABLE,Number of parties in the TReDS mechanism,banking
2023,80,518bd8f3-af42-4782-9d84-186be53a4b6b,PERISHABLE,D-SII list as released in March 2023,
2024,1,000f179a-e88b-438d-98e6-da4f64fe66e3,DURABLE,Government assistance quantum under PMAY-U 2.0,economics
2024,2,c03cf54f-6f27-4e8e-a958-f11435df69ef,DURABLE,PMMY Tarun category maximum loan amount,banking
2024,3,1eac5e45-a56c-4514-bdc4-c2d64bc5b156,DURABLE,De-penalisation threshold for small movable foreign assets,economics
2024,4,e68ee927-612c-4717-b89b-4d1628d8897c,DURABLE,NPS partial-withdrawal percentage after three years,pension-sector
2024,5,09bdd252-7913-4235-a3ad-f204400ce21a,DURABLE,Turnover threshold for mandatory TReDS onboarding,banking
2024,6,ff22c6f5-286f-4ab9-97e2-aedf24118a15,PERISHABLE,Top ministry in the National Monetisation Pipeline for a stated year,
2024,7,206667d0-5750-4ee4-ae1b-80e027ebd0de,DURABLE,DAY-NRLM systems-design initiative; scheme identity,
