"row_type","row_id","paper_year","question_number_or_topic_id","text_preview","flags","sample_reason","decision","notes","assign_topic_id","difficulty"
"question","7ab77868-58c2-48cd-ab52-a365a4e0beec","2022","1","What can be inferred about the economy of the world from the passage?","no_primary_tag","flagged","","","420312ba-2e38-4e16-a836-7e6764a05535","medium"
"question","ef384cab-d616-4299-8b68-78568d1dca8c","2022","2","Which of the following was/were the objectives of the off -cycle meeting by RBI?","no_primary_tag","flagged","","","342ec4bb-5625-4398-9b44-2963d65062a4","easy"
"question","352bd671-f233-4053-8a94-f5cce5050c70","2022","3","Which of the following come(s) under the changes introduced by the RBI’s new policies?","non_ascii_suspect;no_primary_tag","flagged","","","342ec4bb-5625-4398-9b44-2963d65062a4","medium"
"question","b6c1b177-a3d2-4ed8-8ae3-245e80d9fe1f","2022","4","Which of the following if correct, most invalidates the arguments in the third passage?","no_primary_tag","flagged","","","abf57bec-5615-4320-a666-ff980779a0c2","medium"
"question","b3de135a-e124-4dec-a1aa-90585abbdb45","2022","5","Which of the following is true according to the data in the passage?","no_primary_tag","flagged","","","342ec4bb-5625-4398-9b44-2963d65062a4","easy"
"question","75123782-9979-4c2d-8a7d-73120c797eef","2022","6","What is the primary focus of the author in the passage?","no_primary_tag","flagged","","","baf763bb-6d36-4a25-b1ba-6419e3b26852","medium"
"question","df63317c-bdab-4271-9c5a-1b2c2982830c","2022","7","From among the following given options, choose the word most similar in meaning to the highlighted word “gradual”, as used in the context of","non_ascii_suspect;no_primary_tag","flagged","","","bf06f202-6d47-497c-a4e2-5f7f377d0fbb","easy"
"question","c6e7a666-52f0-4cd0-b42c-4d3c78066736","2022","8","Which of the following words is most opposite in meaning to the highlighted word “deleterious”?","non_ascii_suspect;no_primary_tag","flagged","","","bf06f202-6d47-497c-a4e2-5f7f377d0fbb","easy"
"question","25a6d571-f42d-4421-af84-c420f787c889","2022","9","Which is the fourth sentence after rearrangement?","no_primary_tag","flagged","","","b2b889f0-5310-23a4-a50c-daa504f0afe7","medium"
"question","a59096b1-7614-42ee-a16c-069d2091d0a7","2022","10","What is the correct rearrangement of the given sentences?","no_primary_tag","flagged","","","b2b889f0-5310-23a4-a50c-daa504f0afe7","medium"
"question","8f4ab2bf-629d-461f-a66d-94cb6dbeef27","2022","11","Out of the given statements, only one is grammatically correct. Choose that statement as the answer. If all the sentences are incorrect, the","no_primary_tag","flagged","","","9cc0f630-ab4f-4a0a-b5b2-9212f18af346","hard"
"question","f5d5e91c-af19-4a46-971e-1988f5728f83","2022","12","Out of the given statements, only one is grammatically correct. Choose that statement as the answer. If all the sentences are incorrect, the","non_ascii_suspect;no_primary_tag","flagged","","","9cc0f630-ab4f-4a0a-b5b2-9212f18af346","hard"
"question","6d965160-493e-4b9f-ba41-eba323d0624c","2022","13","Out of the given statements, only one is grammatically correct. Choose that statement as the answer. If all the sentences are incorrect, the","no_primary_tag","flagged","","","9cc0f630-ab4f-4a0a-b5b2-9212f18af346","hard"
"question","25c14b8a-2690-493f-b413-f37607227515","2022","14","The king released the lion from its cage into the arena where the champion stood, and by t he end, the champion ultimately turned out to be ","suspicious_repeat_char;no_primary_tag","flagged","","","cbb196b4-3325-4af1-80f9-a4280d592e9f","easy"
"question","e68143e6-4333-414e-bf1c-493ff2df62f7","2022","15","Observing all the reports, the supervisor noted that the productivity of the wareho use was _____________ for the company’s needs.","non_ascii_suspect;suspicious_repeat_char;no_primary_tag","flagged","","","cbb196b4-3325-4af1-80f9-a4280d592e9f","easy"
"question","8bf962d0-59b7-4432-9b0b-ed8cc1c4d8fd","2022","16","As soon as he entered the room, he was unable to see anything due to the stark ____________ inside.","suspicious_repeat_char;no_primary_tag","flagged","","","cbb196b4-3325-4af1-80f9-a4280d592e9f","easy"
"question","5d56b020-e123-4f86-9b50-0838afcb3334","2022","17","Noticing how the dimensions of the bridge were different than that of others in the city, my guest asked me why the bridg e was so _________","suspicious_repeat_char;no_primary_tag","flagged","","","cbb196b4-3325-4af1-80f9-a4280d592e9f","easy"
"question","82f16a8f-5894-446b-b16c-b2a82a0f8697","2022","18","(i) BIMSTEC has, finally, taken measures to strengthen the Secretariat, (ii) some members are yet to extend adequate personnel support to it","no_primary_tag","flagged","","","fd797be4-4857-4885-a456-52d9ce38df94","medium"
"question","4ff3c2c3-6c64-4d6c-bf0f-447aa3183c49","2022","19","(i) Earlier in March, Musk said he would put the deal ""temporarily on hold"", (ii) he waits for the social media company to provide more of i","no_primary_tag","flagged","","","fd797be4-4857-4885-a456-52d9ce38df94","medium"
"question","36910d92-0e20-4d02-ab04-dd07dd6b1852","2022","20","(i) There are nearly 500 plus heritage buildings dotting the skyline of Mysuru, (ii) only about 150 are notified while the rest are not decl","no_primary_tag","flagged","","","fd797be4-4857-4885-a456-52d9ce38df94","medium"
"question","dcdc4a16-21c3-4d49-a088-92378686f825","2022","21","Which of the following is not a benefit of adopting a vegetarian diet?","no_primary_tag","flagged","","","342ec4bb-5625-4398-9b44-2963d65062a4","medium"
"question","7eabd9c3-f15e-4950-84e7-44ecee473a60","2022","22","Which of the following qualifies as a difference between a vegetarian and a non -vegetarian diet?","no_primary_tag","flagged","","","342ec4bb-5625-4398-9b44-2963d65062a4","medium"
"question","3446de24-1e14-47eb-852f-b83170f6e897","2022","23","How is proper planning important for a vegetarian li festyle?","no_primary_tag","flagged","","","342ec4bb-5625-4398-9b44-2963d65062a4","medium"
"question","4c028d7f-9b33-4086-9d43-8d2b5958f84d","2022","24","Which of the following ways can help in making vegetarian diets more interesting to adopt according to the passage?","no_primary_tag","flagged","","","342ec4bb-5625-4398-9b44-2963d65062a4","medium"
"question","4a897f7b-647b-4708-b709-ff7943bb62e7","2022","25","Which of the following words can most appropriately be substituted in the blank in the passage?","no_primary_tag","flagged","","","4b44f9f1-8d13-4977-be4b-aa5108b10ead","easy"
"question","b89cbee0-e42a-4a66-9ac5-eaac6d4fefde","2022","26","Which of the following words is the most similar in its definition as the highlighted word adequate , the definition corresponding to its us","no_primary_tag","flagged","","","dbed7599-7bab-45e3-ab53-cb8cbb8a1c55","medium"
"question","bd2f12fb-9d9d-4946-ae38-8b2eba66a396","2022","27","Choose the word from the following options which most aptly acts as an antonym to the highlighted word beneficial as it is used in the conte","no_primary_tag","flagged","","","bf06f202-6d47-497c-a4e2-5f7f377d0fbb","easy"
"question","a1a30432-cf3f-47d5-9900-91e0ac1f0f86","2022","28","Get a second wind (i) Even after dissatisfactory reports on his work, his manager decided to give him anoth er chanc e. (ii) After reaching ","non_ascii_suspect;no_primary_tag","flagged","","","f4ab61e2-cadf-4686-a1c5-50554463f230","medium"
"question","fd00b58b-f3ee-492a-b26b-bdb0f165c293","2022","29","Like two peas in a pod (i) Tim left the party immediately after John did, following in his footsteps. (ii) As soon as the waves subsided, th","no_primary_tag","flagged","","","f4ab61e2-cadf-4686-a1c5-50554463f230","medium"
"question","c3ee47ea-1cd0-47fa-bd3f-a457807458d6","2022","30","Once bitten, twice shy (i) He’s very cautious while cr ossing the road after just having recovered from a road accident injury. (ii) After f","non_ascii_suspect;no_primary_tag","flagged","","","f4ab61e2-cadf-4686-a1c5-50554463f230","medium"
"question","9b27fd99-4311-42aa-a347-9e9f5bd3044d","2022","31","Which of the following time for Chemistry class is scheduled?","no_primary_tag","flagged","","","e452f72a-bd16-4faa-87c0-ca8608723b7c","medium"
"question","1118459d-a10b-4e04-b24e-7274fdb65766","2022","32","Which of the following subject is scheduled at last?","no_primary_tag","flagged","","","e452f72a-bd16-4faa-87c0-ca8608723b7c","medium"
