year,question_number,question_id,section,section_topic_id,microtopic,microtopic_slug
2023,6,ff2a43cf-19d2-4b71-9e78-815af74a91a9,Geography,c7f0e071-3a29-4165-8ae9-2e43d2199a86,Transport corridors and ports,gk-transport-corridors-and-ports-1ab12f3b
2023,10,dc375824-9bd8-42ee-a07b-acdf2ac88636,General Science,424cc8f1-b96f-4fef-b2db-76128e34c7d0,Digital public platforms and e-governance technology,gk-digital-public-platforms-and-e-governance-technology-9cd7508b
2023,12,92ec9348-e725-4bc2-86c1-6484d7617e01,Miscellaneous,343ffe9a-9415-4efe-bb5d-d23f38e739b9,International organisations and groupings,gk-international-organisations-and-groupings-ccdfea5b
2023,14,828f8e49-5f89-434a-8d4c-dce4ada36b90,Miscellaneous,343ffe9a-9415-4efe-bb5d-d23f38e739b9,International organisations and groupings,gk-international-organisations-and-groupings-ccdfea5b
2023,28,31907b64-c79f-4ceb-882a-88b2a33207f5,Geography,c7f0e071-3a29-4165-8ae9-2e43d2199a86,Climate and ocean-atmosphere phenomena,gk-climate-and-ocean-atmosphere-phenomena-8085d1da
2023,37,07ec5f4f-506f-49a4-b325-850d1aea8ef9,General Science,424cc8f1-b96f-4fef-b2db-76128e34c7d0,Space missions and spacecraft,gk-space-missions-and-spacecraft-be67a432
2023,38,fb85f00d-5fa9-4fe8-aaaa-239e35d338f7,Miscellaneous,343ffe9a-9415-4efe-bb5d-d23f38e739b9,International agreements and declarations,gk-international-agreements-and-declarations-19824d81
2023,41,920648ed-bb31-4e77-bada-88659f9bd8ad,Indian Polity and Constitution,e8948b78-aa3e-434b-9959-32c047b42be9,Union ministries and departments,gk-union-ministries-and-departments-cc6b7cd8
2023,47,f325058f-1c5e-435d-9c74-ed805923ebaf,Indian Economy,40066b89-bcfd-4ffc-8a68-73158a678dc9,Urban development and governance missions,gk-urban-development-and-governance-missions-9e53e37f
2023,59,8465c7fd-8cfe-4b7f-a3a7-4d51b2fe9653,General Science,424cc8f1-b96f-4fef-b2db-76128e34c7d0,Units and scales of measurement,gk-units-and-scales-of-measurement-7ec529d3
2023,60,fc688826-eec8-4593-9f75-90a67a191e68,Miscellaneous,343ffe9a-9415-4efe-bb5d-d23f38e739b9,Commemorative coins and numismatics,gk-commemorative-coins-and-numismatics-acb547d9
2023,65,b9d6a044-93fd-439d-b2d2-fccd2b5bc02c,Miscellaneous,343ffe9a-9415-4efe-bb5d-d23f38e739b9,Sports terminology and Indian sporting history,gk-sports-terminology-and-indian-sporting-history-a70dfb18
2023,67,8ce49aa5-bda8-438c-ac00-92e28ab53677,Indian Economy,40066b89-bcfd-4ffc-8a68-73158a678dc9,Agriculture and rural energy schemes,gk-agriculture-and-rural-energy-schemes-ebe9a56e
2023,68,0453ae7c-d895-45c3-af13-8ad11ae01751,Indian Economy,40066b89-bcfd-4ffc-8a68-73158a678dc9,Urban development and governance missions,gk-urban-development-and-governance-missions-9e53e37f
2023,70,1e23b271-6759-40c2-845a-93b0f48c4f61,Miscellaneous,343ffe9a-9415-4efe-bb5d-d23f38e739b9,Climate awareness initiatives,gk-climate-awareness-initiatives-5c590710
2023,76,362a02d5-a932-44c8-a8b5-4fb0bbed52d4,Indian Polity and Constitution,e8948b78-aa3e-434b-9959-32c047b42be9,Union-State relations and the legislative lists,gk-union-state-relations-and-the-legislative-lists-d8f8e469
2023,77,33b11bae-3149-4094-8a02-a209c867dc95,Indian Economy,40066b89-bcfd-4ffc-8a68-73158a678dc9,Multilateral development finance in India,gk-multilateral-development-finance-in-india-8639dac3
2024,7,206667d0-5750-4ee4-ae1b-80e027ebd0de,Indian Economy,40066b89-bcfd-4ffc-8a68-73158a678dc9,Rural livelihood and skill development missions,gk-rural-livelihood-and-skill-development-missions-4bc24cc0
2024,10,3a9d6660-e922-4bc5-b390-dac5b922a38f,Indian Economy,40066b89-bcfd-4ffc-8a68-73158a678dc9,Environmental clearance and industrial approvals,gk-environmental-clearance-and-industrial-approvals-2be607e8
2024,53,e9341b3c-8605-4df3-9bbc-a4ddc0d5528e,Miscellaneous,343ffe9a-9415-4efe-bb5d-d23f38e739b9,Sports terminology and Indian sporting history,gk-sports-terminology-and-indian-sporting-history-a70dfb18
2024,58,fc5a9390-640e-44c7-9656-3c93bdf37c62,Miscellaneous,343ffe9a-9415-4efe-bb5d-d23f38e739b9,International agreements and declarations,gk-international-agreements-and-declarations-19824d81
