"subject","subject_id","paper_code","phase","question_number","display_order","source_question_ref","topic","microtopic","microtopic_slug","question_id","stem_excerpt"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","161","1","ARD-2020-Q161","Agronomy and Crop Production","Crop production statistics and leading states","ard-crop-production-statistics-and-leading-states-76bd8597","f66c3f4d-ca81-4916-9e41-f481f2e3ba97","Q.161)Which state has the highest rice production"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","162","2","ARD-2020-Q162","Agronomy and Crop Production","Crop production statistics and leading states","ard-crop-production-statistics-and-leading-states-76bd8597","72ef27b4-8f27-473d-9d27-48855f14ed79","Q.162) According to the first advance estimate 2019 -20, What is the total food grain production in kharif 2019?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","163","3","ARD-2020-Q163","Horticulture and Plantation Crops","Horticulture production statistics","ard-horticulture-production-statistics-4130b769","3c59a40d-7273-4466-b185-5b9666ec0d38","Q.163)According to the third advance estimate 2018 -19, What is the total horticulture production?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","164","4","ARD-2020-Q164","Agronomy and Crop Production","Crop production statistics and leading states","ard-crop-production-statistics-and-leading-states-76bd8597","647e51ad-80c7-4458-a50c-734516fe6c9d","Q.164) Which among is correct on the basis of decreasing order of production?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","165","5","ARD-2020-Q165","Soil Science, Water and Agro-meteorology","Irrigation projects and command area classification","ard-irrigation-projects-and-command-area-classification-657dc57b","23e4a626-a7b1-46f5-b864-cea0e96a781e","Q.165) According to 5th Minor irrigation Census 2013 – 14, Which state has the highest number of minor irrigation projec"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","166","6","ARD-2020-Q166","Soil Science, Water and Agro-meteorology","Soil types and their distribution in India","ard-soil-types-and-their-distribution-in-india-f1275c3b","cc5ec8ad-3599-4168-b054-3fa844ca96c9","Q.166) Which region in India covers maximum area under alluvial soil?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","167","7","ARD-2020-Q167","Soil Science, Water and Agro-meteorology","Soil physical properties and soil moisture","ard-soil-physical-properties-and-soil-moisture-6599130c","d957f590-28da-4231-9c9a-ff8a826b07c3","Q.167) Which among the following has the highest water retention capacity?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","168","8","ARD-2020-Q168","Rural Development, Schemes and Institutions","Rural roads and PMGSY","ard-rural-roads-and-pmgsy-2cb50665","89e72822-de7a-4f18-9e33-b5731108bd04","Q.168) The Phase-III of PMGSY which aims at consolidation of 1,25,000 Kms Through Routes a Major Rural Links that connec"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","169","9","ARD-2020-Q169","Agricultural Economics, Credit and Marketing","Agricultural events and industry associations","ard-agricultural-events-and-industry-associations-5540f0f2","eb09121b-793e-4848-9af1-710798bf3cd3","Q.169) The Pulses Conclave 2020 (TPC 2020) has been scheduled to be held from 12 -14 February 2020 in_______________. Th"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","170","10","ARD-2020-Q170","Agronomy and Crop Production","Crop production statistics and leading states","ard-crop-production-statistics-and-leading-states-76bd8597","9fe79a43-9b87-4364-832d-fc423a6cbc55","Q.170)Which state has the maximum area under sunflower production?"
"Agriculture & Rural Development","dd3d3bf2-9da6-4525-a19f-48bf047adb35","NABARD-P1-ARD-2020","1","171","11","ARD-2020-Q171","Agronomy and Crop Production","Commercial and fibre crops","ard-commercial-and-fibre-crops-fc1cb796","d3999a7d-af21-4afa-995f-35211317e138","Q.171) Which crop is known as white gold?"
