paper_code,source_question_ref,id
NABARD-P1-ARD-2021,ARD-2021-Q161,daeaa52c-b8ba-4471-954c-299a4f7e7498
NABARD-P1-ARD-2021,ARD-2021-Q163,e79714d3-a654-4545-b795-f46cccb3c74b
NABARD-P1-ARD-2021,ARD-2021-Q165,c8fdf86b-55fe-4b3d-b1df-e451a083ff7a
NABARD-P1-ARD-2021,ARD-2021-Q167,d39eafd8-ba04-40c0-8ad1-db6d140ba461
NABARD-P1-ARD-2021,ARD-2021-Q169,b5f04429-1184-44bf-af81-eef7da1cf4dc
NABARD-P1-ARD-2021,ARD-2021-Q171,0bbe103a-13d5-47fc-95eb-93c27881a214
NABARD-P1-ARD-2021,ARD-2021-Q162,eeea0ffe-41f1-4b15-a459-bd8f821cb8ed
NABARD-P1-ARD-2021,ARD-2021-Q164,692da6a8-eb39-42d6-b9aa-e4eeb98928cd
NABARD-P1-ARD-2021,ARD-2021-Q166,05671186-2905-458f-8e20-f0360af7c736
NABARD-P1-ARD-2021,ARD-2021-Q168,5d37d81d-699f-4c30-a50b-97a244a9ed9d
NABARD-P1-ARD-2021,ARD-2021-Q170,7a62d023-3bb8-413f-8e79-d4e363fc4db3
NABARD-P1-ARD-2021,ARD-2021-Q172,d13c184f-5f70-4046-be41-228845e86330
NABARD-P1-ARD-2021,ARD-2021-Q174,f8adb11d-5869-4529-bd4d-b750fcf397ec
NABARD-P1-ARD-2021,ARD-2021-Q176,435eedca-06fd-4990-a277-f780fdb48885
NABARD-P1-ARD-2021,ARD-2021-Q178,451d8f95-9605-4b5d-b4d5-ef4022654bc6
NABARD-P1-ARD-2021,ARD-2021-Q180,2ddb84ee-12cd-46d5-b4eb-1b6929c7ed39
NABARD-P1-ARD-2021,ARD-2021-Q182,92da6f71-8080-4502-aa3f-8aca62784615
NABARD-P1-ARD-2021,ARD-2021-Q173,b4a8b34c-2e78-4813-a17a-122ba8c06ce7
NABARD-P1-ARD-2021,ARD-2021-Q175,eda0426d-8ae7-470b-8ab5-e7c541101603
NABARD-P1-ARD-2021,ARD-2021-Q177,bfff89c3-8f85-401c-8d98-ef7b4dc2d227
NABARD-P1-ARD-2021,ARD-2021-Q179,0f495dbc-7a0e-47df-8822-85268f2a5e0e
NABARD-P1-ARD-2021,ARD-2021-Q181,6a0e1767-75fe-4981-9c31-692f1664fe49
NABARD-P1-ARD-2021,ARD-2021-Q183,fd9b13d6-84d8-4008-bf85-8bf7021e0110
NABARD-P1-ARD-2021,ARD-2021-Q185,a8c42387-d4d7-48be-a156-d5b2cad2b5a5
NABARD-P1-ARD-2021,ARD-2021-Q187,b18b936d-e5ea-465b-b5aa-79984b4454f4
