"row_type","row_id","paper_year","question_number_or_topic_id","text_preview","flags","sample_reason","decision","notes","assign_topic_id","difficulty"
"question","06a71546-9158-4fe8-bc64-b5a1f84f9ce4","2023","1","India’s BSR system needs to be robust, timely, comprehensive and open to change, stated Michael Patra, deputy governor of Reserve Bank of In","non_ascii_suspect;no_primary_tag","flagged","","","",""
"question","a2d5fb94-dfdd-4b55-9f4b-6de9fa8aa402","2023","2","As per the Annual Report of RBI (released in May 2023), the Reserve Bank successfully completed the combined gross market borrowings of the ","suspicious_repeat_char;no_primary_tag","flagged","","","",""
"question","464407e5-93ca-4d89-a707-b74f17271000","2023","3","The Global Gender Gap Index annually benchmarks the current state and evolution of gender parity across four key dimensions (Economic Partic","non_ascii_suspect;no_primary_tag","flagged","","","",""
"question","a86a0030-3ae4-400d-ae2d-a146919e6bea","2023","4","Recently, a South American country conferred its highest civilian honour to President Droupadi Murmu- The Grand Order of the Chain of Yellow","non_ascii_suspect;no_primary_tag","flagged","","","",""
"question","ba69621f-99ba-442c-9d13-5ae8db01c04d","2023","5","Towns of Export Excellence is a status provided to those towns which produce and export goods worth a minimum value in a specific sector. Se","suspicious_repeat_char;no_primary_tag","flagged","","","",""
"question","ff2a43cf-19d2-4b71-9e78-815af74a91a9","2023","6","According to reports, a trilateral highway connecting Kolkata to ___ will be built and available for use in four years. Commerce ministers f","no_primary_tag","flagged","","","",""
"question","3539cfd7-1980-4538-9e4e-651f2e663682","2023","7","During the visit of COP 26 President Hon’ble Alok Sharma to India on 21-22 July 2022, NITI Aayog launched two significant initiatives, which","non_ascii_suspect;suspicious_repeat_char;no_primary_tag","flagged","","","",""
"question","c6eb9d90-7e69-422d-918e-478ba00876c7","2023","8","According to the Economic Survey of 2022-23, the Indian economy appears to have moved on after its encounter with the pandemic, staging a fu","suspicious_repeat_char;no_primary_tag","flagged","","","",""
"question","d4ce74ef-4c4d-4e3e-834c-5a1e2da5321e","2023","9","Cruise tourism has seen an immense surge in recent years in India and worldwide. Seeing the potential of this sector, India, on June 5, inau","suspicious_repeat_char;no_primary_tag","flagged","","","",""
"question","dc375824-9bd8-42ee-a07b-acdf2ac88636","2023","10","TRAI in its endeavour to curb menace of spams through Unsolicited Commercial Communication (UCC) has taken various measures in recent past s","no_primary_tag","flagged","","","",""
"question","4dd92204-71ba-458a-9500-48a79bcc87bd","2023","11","Mr. Girish Chandra Murmu, the Comptroller and Auditor General of India (CAG), has been re-elected as External Auditor of the ______ for a __","non_ascii_suspect;suspicious_repeat_char;no_primary_tag","flagged","","","",""
"question","92ec9348-e725-4bc2-86c1-6484d7617e01","2023","12","According to Morgan Stanley, India is already the fastest- growing economy in the world with three megatrends in the country, global offshor","non_ascii_suspect;no_primary_tag","flagged","","","",""
"question","779435d4-7055-45c5-a488-1f384541c7ce","2023","13","According to the data collated by Department for Promotion of Industry and Internal Trade (DPIIT), incentives have been given to PLI benefic","no_primary_tag","flagged","","","",""
"question","828f8e49-5f89-434a-8d4c-dce4ada36b90","2023","14","What makes a country worth living is not just economic hegemony and achievements of the state, it is the wealth of the culture of the people","no_primary_tag","flagged","","","",""
"question","44ce8df3-df4e-43bf-9d39-a821dafa06e6","2023","15","Since the implementation of monetary policy framework in 2016, the inflation rate has crossed upper threshold limit various times. The RBI i","non_ascii_suspect;suspicious_repeat_char;no_primary_tag","flagged","","","",""
"question","6001a265-5a4e-4f10-8209-57ab1bf98c83","2023","16","Major private sector banks continued to expand branch network in the financial year ended March 2023, while public sector banks (PSB) saw a ","no_primary_tag","flagged","","","",""
"question","b89a3e1c-57bb-4aae-8e2a-0c9e914cf3f9","2023","17","The Digital Payment Index (DPI) is a metric used to measure the adoption and growth of digital payments within a country. It provides an ass","no_primary_tag","flagged","","","",""
"question","a333bbf9-fdbe-4896-9c05-56b42367ffed","2023","18","RBI has been organizing various public awareness campaigns for promoting financial literacy and safe banking practices. Which of the followi","no_primary_tag","flagged","","","",""
"question","adaf7230-321a-4eec-b993-97639fcbcb53","2023","19","e-way bill is a document required to be carried by a person in charge of the conveyance carrying any consignment of goods of value exceeding","suspicious_repeat_char;no_primary_tag","flagged","","","",""
"question","568ded3d-be7c-40ea-9a7f-158457df1ddf","2023","20","According to union budget 2023-24, 50-years interest free loans is given to states for ……………… In budget 2023-24, the total amount sanctioned","non_ascii_suspect;suspicious_repeat_char;no_primary_tag","flagged","","","",""
"question","dde30b8f-dfc9-4401-99e4-c2eed0653cd6","2023","21","Finastra has partnered with a bank to support the latter’s new integrated corporate banking portal, ‘FYN’, using Finastra’s Unified Corporat","non_ascii_suspect;no_primary_tag","flagged","","","",""
"question","cf7c64b7-c5c5-46dc-a84a-43207cef04db","2023","22","Prudential guidelines aim to address credit risk concentration in non-banking financial companies (NBFCs). These guidelines focus on identif","non_ascii_suspect;no_primary_tag","flagged","","","",""
"question","d7922705-0b2c-4951-9181-b2d15370bd9c","2023","23","The Indian Council of Agricultural Research (ICAR) and an e-commerce platform have signed a Memorandum of Understanding (MoU) to combine str","non_ascii_suspect;no_primary_tag","flagged","","","",""
"question","18f853c3-ce55-45eb-a81f-be96333dcbe0","2023","24","The European Central Bank (ECB) is the central bank for the eurozone, the group of nineteen countries who use the euro common currency. Its ","non_ascii_suspect;no_primary_tag","flagged","","","",""
