"row_type","row_id","paper_year","question_number_or_topic_id","text_preview","flags","sample_reason","decision","notes","assign_topic_id","difficulty","stimulus_preview"
"question","000f179a-e88b-438d-98e6-da4f64fe66e3","2024","1","How much government assistance is being provided for the Pradhan Mantri Awas Yojana-Urban (PMAY-U) 2.0?","no_primary_tag","flagged","","","","",""
"question","c03cf54f-6f27-4e8e-a958-f11435df69ef","2024","2","The Pradhan Mantri MUDRA Yojana (PMMY) was launched in 2015 to ignite entrepreneurship, providing collateral-free micro-loans up to Rs 10 la","suspicious_repeat_char;no_primary_tag","flagged","","","","",""
"question","1eac5e45-a56c-4514-bdc4-c2d64bc5b156","2024","3","As per the Union Budget 2024-25, the non-reporting of small movable foreign assets up to ____________ has been de- penalised. Fill the gap","suspicious_repeat_char;no_primary_tag","flagged","","","","",""
"question","e68ee927-612c-4717-b89b-4d1628d8897c","2024","4","What percentage of money can be withdrawn from the National Pension Scheme (NPS) after 3 years?","no_primary_tag","flagged","","","","",""
"question","09bdd252-7913-4235-a3ad-f204400ce21a","2024","5","The Union Budget 2024-25 has proposed to reduce the turnover threshold of buyers for mandatory onboarding on the TReDS platform from Rs 500 ","suspicious_repeat_char;no_primary_tag","flagged","","","","",""
"question","ff22c6f5-286f-4ab9-97e2-aedf24118a15","2024","6","Which Ministry is recognized as the top achiever in the National Monetisation Pipeline for the financial year 2023-24?","no_primary_tag","flagged","","","","",""
"question","206667d0-5750-4ee4-ae1b-80e027ebd0de","2024","7","Which initiative has been launched by the Deendayal Antyodaya Yojana–National Rural Livelihoods Mission (DAY-NRLM) to empower individuals ac","non_ascii_suspect;no_primary_tag","flagged","","","","",""
"question","8723cf3a-e4af-413c-866f-ee2e9fdf3f2d","2024","8","Under Self Reliant India (SRI) Fund of Rs. 50,000 crore, there is a provision of __________ from Government of India and ______________ thro","suspicious_repeat_char;no_primary_tag","flagged","","","","",""
"question","21a031cf-d598-43d6-9700-906c616ff60f","2024","9","What is the share of export of MSME specified products in all India exports (in %) in FY 2023-24?","no_primary_tag","flagged","","","","",""
"question","3a9d6660-e922-4bc5-b390-dac5b922a38f","2024","10","In pursuance of the spirit of ‘Digital India’ and capturing the essence of Minimum Government and Maximum Governance, which single window po","non_ascii_suspect;no_primary_tag","flagged","","","","",""
"question","8b842231-525d-4bfa-84d7-4b939eae8f85","2024","11","Ministry of Food Processing Industries (MoFPI) implements a Scheme for Integrated Cold Chain, Food Processing and Preservation Infrastructur","suspicious_repeat_char;no_primary_tag","flagged","","","","",""
