row_type,row_id,paper_year,question_number_or_topic_id,text_preview,flags,sample_reason,decision,notes,assign_topic_id,difficulty,stimulus_preview
question,7ab77868-58c2-48cd-ab52-a365a4e0beec,2022,1,What can be inferred about the economy of the world from the passage?,,spot_check,,,,,
question,ef384cab-d616-4299-8b68-78568d1dca8c,2022,2,Which of the following was/were the objectives of the off -cycle meeting by RBI?,,,,,,,
question,352bd671-f233-4053-8a94-f5cce5050c70,2022,3,Which of the following come(s) under the changes introduced by the RBI’s new policies?,non_ascii_suspect,flagged,,,,,
question,b6c1b177-a3d2-4ed8-8ae3-245e80d9fe1f,2022,4,"Which of the following if correct, most invalidates the arguments in the third passage?",,,,,,,
question,b3de135a-e124-4dec-a1aa-90585abbdb45,2022,5,Which of the following is true according to the data in the passage?,,,,,,,
question,75123782-9979-4c2d-8a7d-73120c797eef,2022,6,What is the primary focus of the author in the passage?,,,,,,,
question,df63317c-bdab-4271-9c5a-1b2c2982830c,2022,7,"From among the following given options, choose the word most similar in meaning to the highlighted word “gradual”, as used in the context of",non_ascii_suspect,flagged,,,,,
question,c6e7a666-52f0-4cd0-b42c-4d3c78066736,2022,8,Which of the following words is most opposite in meaning to the highlighted word “deleterious”?,non_ascii_suspect,flagged,,,,,
question,25a6d571-f42d-4421-af84-c420f787c889,2022,9,Which is the fourth sentence after rearrangement?,,,,,,,
question,a59096b1-7614-42ee-a16c-069d2091d0a7,2022,10,What is the correct rearrangement of the given sentences?,,,,,,,
question,8f4ab2bf-629d-461f-a66d-94cb6dbeef27,2022,11,"Out of the given statements, only one is grammatically correct. Choose that statement as the answer. If all the sentences are incorrect, the",,,,,,,
question,f5d5e91c-af19-4a46-971e-1988f5728f83,2022,12,"Out of the given statements, only one is grammatically correct. Choose that statement as the answer. If all the sentences are incorrect, the",non_ascii_suspect,flagged,,,,,
question,6d965160-493e-4b9f-ba41-eba323d0624c,2022,13,"Out of the given statements, only one is grammatically correct. Choose that statement as the answer. If all the sentences are incorrect, the",,,,,,,
question,25c14b8a-2690-493f-b413-f37607227515,2022,14,"The king released the lion from its cage into the arena where the champion stood, and by t he end, the champion ultimately turned out to be ",suspicious_repeat_char,flagged,,,,,
question,e68143e6-4333-414e-bf1c-493ff2df62f7,2022,15,"Observing all the reports, the supervisor noted that the productivity of the wareho use was _____________ for the company’s needs.",non_ascii_suspect;suspicious_repeat_char,flagged,,,,,
question,8bf962d0-59b7-4432-9b0b-ed8cc1c4d8fd,2022,16,"As soon as he entered the room, he was unable to see anything due to the stark ____________ inside.",suspicious_repeat_char,flagged,,,,,
question,5d56b020-e123-4f86-9b50-0838afcb3334,2022,17,"Noticing how the dimensions of the bridge were different than that of others in the city, my guest asked me why the bridg e was so _________",suspicious_repeat_char,flagged,,,,,
question,82f16a8f-5894-446b-b16c-b2a82a0f8697,2022,18,"(i) BIMSTEC has, finally, taken measures to strengthen the Secretariat, (ii) some members are yet to extend adequate personnel support to it",,,,,,,
question,4ff3c2c3-6c64-4d6c-bf0f-447aa3183c49,2022,19,"(i) Earlier in March, Musk said he would put the deal ""temporarily on hold"", (ii) he waits for the social media company to provide more of i",,,,,,,
question,36910d92-0e20-4d02-ab04-dd07dd6b1852,2022,20,"(i) There are nearly 500 plus heritage buildings dotting the skyline of Mysuru, (ii) only about 150 are notified while the rest are not decl",,spot_check,,,,,
question,dcdc4a16-21c3-4d49-a088-92378686f825,2022,21,Which of the following is not a benefit of adopting a vegetarian diet?,,,,,,,
question,7eabd9c3-f15e-4950-84e7-44ecee473a60,2022,22,Which of the following qualifies as a difference between a vegetarian and a non -vegetarian diet?,,,,,,,
question,3446de24-1e14-47eb-852f-b83170f6e897,2022,23,How is proper planning important for a vegetarian li festyle?,,,,,,,
question,4c028d7f-9b33-4086-9d43-8d2b5958f84d,2022,24,Which of the following ways can help in making vegetarian diets more interesting to adopt according to the passage?,,,,,,,
question,4a897f7b-647b-4708-b709-ff7943bb62e7,2022,25,Which of the following words can most appropriately be substituted in the blank in the passage?,,,,,,,
question,b89cbee0-e42a-4a66-9ac5-eaac6d4fefde,2022,26,"Which of the following words is the most similar in its definition as the highlighted word adequate , the definition corresponding to its us",,,,,,,
question,bd2f12fb-9d9d-4946-ae38-8b2eba66a396,2022,27,Choose the word from the following options which most aptly acts as an antonym to the highlighted word beneficial as it is used in the conte,,,,,,,
question,a1a30432-cf3f-47d5-9900-91e0ac1f0f86,2022,28,"Get a second wind (i) Even after dissatisfactory reports on his work, his manager decided to give him anoth er chanc e. (ii) After reaching ",non_ascii_suspect,flagged,,,,,
question,fd00b58b-f3ee-492a-b26b-bdb0f165c293,2022,29,"Like two peas in a pod (i) Tim left the party immediately after John did, following in his footsteps. (ii) As soon as the waves subsided, th",,,,,,,
question,c3ee47ea-1cd0-47fa-bd3f-a457807458d6,2022,30,"Once bitten, twice shy (i) He’s very cautious while cr ossing the road after just having recovered from a road accident injury. (ii) After f",non_ascii_suspect,flagged,,,,,
question,9b27fd99-4311-42aa-a347-9e9f5bd3044d,2022,31,Which of the following time for Chemistry class is scheduled?,,,,,,,
question,1118459d-a10b-4e04-b24e-7274fdb65766,2022,32,Which of the following subject is scheduled at last?,,,,,,,
question,e91fd683-367a-4eef-be0f-113ca19135b6,2022,33,How many classes scheduled between Chemistry and Maths?,,spot_check,,,,,
question,a7f11e47-0c7a-428b-8762-34b6f61c6a00,2022,34,____ class is scheduled 150 minutes after Maths clas s?,suspicious_repeat_char,flagged,,,,,
question,9f5e7f68-7f12-4b78-8917-1f38f8ed8ff9,2022,35,The number of classes scheduled between Physics and Chemistry is same as the number of classes scheduled before ____ class .,suspicious_repeat_char,flagged,,,,,
question,bd2ec363-02ba-4d19-b1a5-23ed5ff724b1,2022,36,Which among the following word is third from the right end in step III?,,,,,,,
question,28000881-0b35-44be-9d28-486f0137e417,2022,37,How many letters are there between third letter of the second word from the left end in step II and second letter of the fourth word from th,,,,,,,
question,fcb6316e-4b7f-48cd-ac43-40f6cb97bc9f,2022,38,What is the sum of the even numbers appeared in step IV?,,,,,,,
question,a100c4ea-6496-4532-a977-21775de40e48,2022,39,What is the difference between the numbers which are second from the right end in step IV and third from the left end in step V?,,,,,,,
question,db6b34e4-2de1-44c4-a7d1-02ea70d4d773,2022,40,Which among the following word is second to the left of third word from the right end in step II?,,,,,,,
question,5a5fb576-c115-485b-87ac-7474820b7a0f,2022,41,What could be the fallout of the new excise policy approved by Delhi government?,,,,,,,
question,968c25b2-48d1-4bf7-901c-3c25b66ee02b,2022,42,Which of the following can be postulated from the above statement? (I) Central government is not in the favour of move by Delhi Government. ,,,,,,,
