"question_number","question_id","classification","reason","suggested_subject"
"1","04ffc54a-812b-4c61-b25c-1f908ede131f","DURABLE","Defining significance of the Digital Public Infrastructure model; conceptual","financial-awareness"
"2","2f2031eb-b068-4189-9c44-8520a689b3e9","PERISHABLE","OPEC membership as of a stated month; membership changes",""
"3","ef3abb4d-658b-48b1-af7e-d8f6b0bfd75d","PERISHABLE","Counterparty to a CEPA signed in a stated month; dated agreement",""
"4","de1fe05f-4db9-4e7d-b736-bc661891ccd3","PERISHABLE","City where an honour was conferred; dated event",""
"5","6b0f11cc-917a-4b79-a528-d7d31821cf55","PERISHABLE","Date of a national observance day",""
"6","9d688c8e-f58d-4519-9d70-63bbf51e5eb6","PERISHABLE","Date of an international observance day",""
"7","2022e57d-54e8-48b3-a1ca-9a6ae593ef20","PERISHABLE","Cricketer taking a team co-ownership stake; dated commercial event",""
"8","91a65ba0-669c-4fbe-a590-bbb544b1b0ac","DURABLE","Personality memorialised at a named site; fixed",""
"9","b1b9849f-bd96-4cc0-a1ec-47a8ba1c769a","DURABLE","Meaning of Brexit; fixed definition",""
"10","4a0e3cc6-8e0b-42ea-a182-4b0a4761a47f","DURABLE","Padma Awards nomination and selection process; fixed procedure",""
"11","567adce5-89df-4dc8-8e92-f2716b321b54","DURABLE","Commonwealth membership; stable",""
"12","d5975b37-c0aa-4532-9030-178ce9bc6a3e","DURABLE","Departments under the agriculture ministry; stable machinery of government",""
"13","e0785b24-5a22-4270-903f-29bf8ca8ce88","DURABLE","Meaning of the Frozen Series in post-Independence Indian coinage; fixed","banking"
"14","db8e599f-e6a6-4020-85db-ce46a0258cf9","PERISHABLE","Location of a newly launched HR centre; dated launch",""
"15","74e8eb73-feda-431e-ae1e-d817ecc2f3bc","DURABLE","Mandates of SIDBI, EXIM Bank and PFRDA; institutional design","banking"
"16","df98d6c3-307d-42d2-9d88-9fc3cba2b14f","PERISHABLE","Named AI shopping chatbot; product launch",""
